Utterance,Classification,Questions
Proceeding to exit door,Not understandable,Which room are we going to next? How long will it take to reach the exit door? Are there any obstacles?
Proceeding to exit door,Medium level understandability,Can you specify the next room? Is the path to the exit door clear?
Proceeding to exit door,Understandable,How long will it take to reach the exit?
Proceeding to exit door,Not understandable,What is the next room we are moving to? Are there any safety concerns?
Proceeding to exit door,Medium level understandability,What is the next room on the way? Are there any hazards in the next rooms?
Proceeding to exit door,Understandable,How many rooms are we passing through to reach the exit?
Proceeding to exit door,Not understandable,What is the route we are taking? How many rooms will we pass through?
Proceeding to exit door,Medium level understandability,Can you tell me the next room? What should I be aware of on the way?
Proceeding to exit door,Understandable,Are there any other people in the rooms we will pass?
Proceeding to exit door,Not understandable,What is the route we are taking? How many rooms are we passing through?
Proceeding to exit door,Medium level understandability,What is the next room number? Are there any obstacles in the next rooms?
Proceeding to exit door,Understandable,How many rooms do we need to go through to reach the exit?
Proceeding to exit door,Not understandable,What is our next destination? How long will it take to reach the exit?
Proceeding to exit door,Medium level understandability,Can you specify the next room we are heading to? Are there any dangers on the way?
Proceeding to exit door,Understandable,What rooms are between us and the exit?
Proceeding to exit door,Not understandable,What is the next room we are moving to? Are there any safety concerns we should be aware of?
Proceeding to exit door,Medium level understandability,What is the next room on the way to the exit? Are there any hazards in the next rooms?
Proceeding to exit door,Understandable,How long will it take to reach the exit?
Proceeding to exit door,Not understandable,What is the route we are taking? How many rooms will we pass through before reaching the exit?
Proceeding to exit door,Medium level understandability,Can you tell me the next room we will go to? What should I be aware of on the way?
Proceeding to exit door,Understandable,How long will it take to reach the exit?
Proceeding to exit door,Not understandable,What is our next destination? How many rooms will we pass through?
Proceeding to exit door,Medium level understandability,Can you specify the next room? Are there any obstacles in the way?
Proceeding to exit door,Understandable,How many rooms are we passing through?
Proceeding to exit door,Not understandable,Where are we heading next? Are there any dangers?
Proceeding to exit door,Medium level understandability,What is the next room we are going to? Is it safe?
Proceeding to exit door,Understandable,What rooms will we pass through?
Proceeding to exit door,Not understandable,Which room are we moving to? Are there any hazards?
Proceeding to exit door,Medium level understandability,What is the next room number? Is the path clear?
Proceeding to exit door,Understandable,How long will it take to get to the exit?
Proceeding to exit door,Not understandable,What is our route? Are there any obstacles?
Proceeding to exit door,Medium level understandability,Can you specify the next room we are moving to? Is it safe?
Proceeding to exit door,Understandable,How many rooms do we need to pass through?
Proceeding to exit door,Not understandable,What is the next room? Are there any dangers?
Proceeding to exit door,Medium level understandability,What is the next room number? Is it safe?
Proceeding to exit door,Understandable,How many rooms are between us and the exit?
Proceeding to exit door,Not understandable,Where are we heading next? Are there any hazards?
Proceeding to exit door,Medium level understandability,What is the next room we are going to? Are there any obstacles?
Proceeding to exit door,Understandable,What rooms will we pass through?
Proceeding to exit door,Not understandable,Which room are we moving to? How long will it take?
Proceeding to exit door,Medium level understandability,What is the next room number? Are there any hazards?
Proceeding to exit door,Understandable,How long will it take to reach the exit?
Proceeding to exit door,Not understandable,What is our next destination? How many rooms will we pass through?
Proceeding to exit door,Medium level understandability,Can you specify the next room? Are there any obstacles in the way?
Proceeding to exit door,Understandable,How many rooms are we passing through?
Proceeding to exit door,Not understandable,Where are we heading next? Are there any dangers?
Proceeding to exit door,Medium level understandability,What is the next room we are going to? Is it safe?
Proceeding to exit door,Understandable,What rooms will we pass through?
Proceeding to exit door,Not understandable,Which room are we moving to? Are there any hazards?
Proceeding to exit door,Medium level understandability,What is the next room number? Is the path clear?
Proceeding to exit door,Understandable,How long will it take to get to the exit?
Proceeding to exit door,Not understandable,What is our route? Are there any obstacles?
Proceeding to exit door,Medium level understandability,Can you specify the next room we are moving to? Is it safe?
Proceeding to exit door,Understandable,How many rooms do we need to pass through?
Proceeding to exit door,Not understandable,What is the next room? Are there any dangers?
Proceeding to exit door,Medium level understandability,What is the next room number? Is it safe?
Proceeding to exit door,Understandable,How many rooms are between us and the exit?
Proceeding to exit door,Not understandable,Where are we heading next? Are there any hazards?
Proceeding to exit door,Medium level understandability,What is the next room we are going to? Are there any obstacles?
Proceeding to exit door,Understandable,What rooms will we pass through?
Proceeding to exit door,Not understandable,Which room are we moving to? How long will it take?
Proceeding to exit door,Medium level understandability,What is the next room number? Are there any hazards?
Proceeding to exit door,Understandable,How long will it take to reach the exit?
Proceeding to exit door,Not understandable,What is our next destination? How many rooms will we pass through?
Proceeding to exit door,Medium level understandability,Can you specify the next room? Are there any obstacles in the way?
Proceeding to exit door,Understandable,How many rooms are we passing through?
Proceeding to exit door,Not understandable,Where are we heading next? Are there any dangers?
Proceeding to exit door,Medium level understandability,What is the next room we are going to? Is it safe?
Proceeding to exit door,Understandable,What rooms will we pass through?
Proceeding to exit door,Not understandable,Which room are we moving to? Are there any hazards?
Proceeding to exit door,Medium level understandability,What is the next room number? Is the path clear?
Proceeding to exit door,Understandable,How long will it take to get to the exit?
Proceeding to exit door,Not understandable,What is our route? Are there any obstacles?
